id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20234Santiago Del Estero,2023,4,Santiago Del Estero,49.08,12.18,8290.0,80692.0,24271.0,7057.0,2920.0,123230.0,180.0,1173.0,13018.0,53980.0,24514.0,5794.0,23641.0,930.0,123230.0,123228.0,2.0,123230.0,44.22
20234Tierra Del Fuego,2023,4,Tierra Del Fuego,110.49,32.75,9357.0,48071.0,3682.0,157.0,332.0,61599.0,22.0,834.0,10283.0,12618.0,19536.0,6085.0,4342.0,7879.0,61599.0,61294.0,305.0,61599.0,17.92
20234Tucumán,2023,4,Tucumán,61.04,15.12,41318.0,20267.0,199876.0,4357.0,517.0,266335.0,39.0,1089.0,18850.0,22817.0,24476.0,1583.0,196919.0,562.0,266335.0,266308.0,27.0,266335.0,101.55
20233Buenos Aires,2023,3,Buenos Aires,80.64,27.5,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0,27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0,122762.0,4968237.0,4962337.0,5900.0,4968237.0,146.84
20233Capital Federal,2023,3,Capital Federal,116.4,47.6,60765.0,1205339.0,167428.0,4629.0,29823.0,1467984.0,516.0,4690.0,28089.0,50899.0,34061.0,6020.0,1343709.0,0.0,1467984.0,1465934.0,2050.0,1467984.0,218.13
20233Catamarca,2023,3,Catamarca,68.55,17.44,7164.0,11066.0,54650.0,1384.0,91.0,74355.0,71.0,224.0,3194.0,3893.0,4634.0,2124.0,60123.0,92.0,74355.0,74354.0,1.0,74355.0,87.9
20233Chaco,2023,3,Chaco,42.87,11.46,16420.0,60058.0,54993.0,8267.0,2408.0,142146.0,236.0,462.0,14076.0,12874.0,6895.0,2970.0,100544.0,4089.0,142146.0,142141.0,5.0,142146.0,107.5
20233Chubut,2023,3,Chubut,84.23,25.82,26352.0,75460.0,25827.0,30521.0,9908.0,168068.0,111.0,1470.0,44434.0,30908.0,24394.0,19608.0,30565.0,16578.0,168068.0,167211.0,857.0,168068.0,19.26
20233Córdoba,2023,3,Córdoba,90.05,27.57,125050.0,453994.0,417338.0,62514.0,10438.0,1069334.0,99.0,8691.0,126420.0,96257.0,52428.0,26058.0,742447.0,16934.0,1069334.0,1069271.0,63.0,1069334.0,111.5
20233Corrientes,2023,3,Corrientes,52.78,13.9,24253.0,83897.0,36032.0,10407.0,5240.0,159829.0,67.0,2985.0,20810.0,20906.0,5494.0,4577.0,97014.0,7976.0,159829.0,159826.0,3.0,159829.0,99.64
20233Entre Ríos,2023,3,Entre Ríos,68.84,20.58,45384.0,157464.0,54794.0,24481.0,11170.0,293293.0,107.0,4510.0,38962.0,49979.0,20312.0,22941.0,156482.0,0.0,293293.0,293273.0,20.0,293293.0,96.26
20233Formosa,2023,3,Formosa,38.86,9.89,11230.0,18053.0,14904.0,16899.0,228.0,61314.0,85.0,208.0,21919.0,11697.0,5045.0,274.0,21727.0,359.0,61314.0,61314.0,0.0,61314.0,80.29
20233Jujuy,2023,3,Jujuy,57.61,14.73,12627.0,51082.0,48350.0,4067.0,1251.0,117377.0,58.0,1436.0,15685.0,11983.0,28956.0,288.0,56943.0,2028.0,117377.0,117377.0,0.0,117377.0,44.55
20233La Pampa,2023,3,La Pampa,99.0,32.62,6844.0,59063.0,32891.0,20014.0,1109.0,119921.0,71.0,1358.0,47914.0,18238.0,14676.0,4081.0,31970.0,1613.0,119921.0,119759.0,162.0,119921.0,24.21
20233La Rioja,2023,3,La Rioja,80.44,21.41,3726.0,55494.0,22054.0,6395.0,32.0,87701.0,18.0,459.0,1617.0,1989.0,24847.0,4798.0,53973.0,0.0,87701.0,87697.0,4.0,87701.0,63.84
