Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2022,3,Santiago Del Estero,15.11,60.9
2022,3,Tierra Del Fuego,24.01,81.0
2022,3,Tucumán,7.56,30.52
2022,2,Buenos Aires,16.76,49.77
2022,2,Capital Federal,24.18,58.82
2022,2,Catamarca,12.35,48.55
2022,2,Chaco,9.95,37.24
2022,2,Chubut,12.39,40.43
2022,2,Córdoba,29.77,97.25
2022,2,Corrientes,11.63,44.16
2022,2,Entre Ríos,16.32,54.59
2022,2,Formosa,10.96,43.07
2022,2,Jujuy,14.28,55.86
2022,2,La Pampa,21.41,64.98
2022,2,La Rioja,5.97,22.41
2022,2,Mendoza,6.4,22.95
2022,2,Misiones,11.07,40.64
2022,2,Neuquén,11.14,37.43
2022,2,Río Negro,14.05,45.67
2022,2,Salta,14.65,60.5
2022,2,San Juan,4.69,18.4
2022,2,San Luis,9.06,31.65
2022,2,Santa Cruz,10.97,36.86
2022,2,Santa Fe,20.91,66.49
2022,2,Santiago Del Estero,14.89,60.0
2022,2,Tierra Del Fuego,23.39,78.89
2022,2,Tucumán,7.65,30.89
2022,1,Buenos Aires,16.698158735289297,49.69539842700735
2022,1,Capital Federal,24.191745248567674,58.7770022477227
2022,1,Catamarca,11.184796101710605,43.97155840883854
2022,1,Chaco,9.783684191174968,36.607347577659496
2022,1,Chubut,12.222844239248715,39.877895492907165
2022,1,Córdoba,29.40554424317563,96.04720661179618
2022,1,Corrientes,11.541767890562927,43.83347869528459
2022,1,Entre Ríos,16.288319027563045,54.4793152639087
2022,1,Formosa,10.97032512700911,43.10440951239675
2022,1,Jujuy,14.008591851377028,54.783358417973226
2022,1,La Pampa,21.647685677013094,65.7043571237637
2022,1,La Rioja,5.90772399280656,22.193462781961912
2022,1,Mendoza,5.962993767719942,21.369053206128367
2022,1,Misiones,10.883199803112044,39.95859390861492
2022,1,Neuquén,11.211082463582567,37.66557481032919
2022,1,Río Negro,14.130406301259308,45.94243458184776
2022,1,Salta,14.858477098971438,61.35289990313298
2022,1,San Juan,4.336564938405783,17.02470196647802
2022,1,San Luis,8.9618095179348,31.315294925940147
2022,1,Santa Cruz,10.977563260890117,36.896177371380155
2022,1,Santa Fe,20.784484665166953,66.10069997637736
2022,1,Santiago Del Estero,14.631165008725302,58.95610048525206
2022,1,Tierra Del Fuego,23.680450170032234,79.87893733886335
2022,1,Tucumán,6.917615733036192,27.927351076483742
2021,4,Buenos Aires,16.89,50.38
2021,4,Capital Federal,24.22,58.79
2021,4,Catamarca,10.68,42.01
2021,4,Chaco,9.61,35.97
2021,4,Chubut,12.1,39.48
2021,4,Córdoba,29.33,95.8
2021,4,Corrientes,10.27,39.01
2021,4,Entre Ríos,16.34,54.64
2021,4,Formosa,11.01,43.27
2021,4,Jujuy,13.84,54.13
2021,4,La Pampa,22.72,68.95
2021,4,La Rioja,6.39,24.01
2021,4,Mendoza,5.73,20.53
2021,4,Misiones,10.9,40.03
2021,4,Neuquén,11.35,38.12
2021,4,Río Negro,14.62,47.53
2021,4,Salta,14.24,58.79
2021,4,San Juan,4.22,16.59
2021,4,San Luis,8.98,31.37
2021,4,Santa Cruz,11.02,37.05
2021,4,Santa Fe,20.89,66.45
2021,4,Santiago Del Estero,19.23,77.49
2021,4,Tierra Del Fuego,23.65,79.76
2021,4,Tucumán,6.39,25.79
2021,3,Buenos Aires,16.781425842472316,50.1850133691485
2021,3,Capital Federal,24.212025637095326,58.694447331047144
2021,3,Catamarca,10.377718246212806,40.79869570106068
2021,3,Chaco,9.485437897422509,35.49142109434032
2021,3,Chubut,11.844195122260512,38.64206405436295
2021,3,Córdoba,29.05643227887345,94.90651469545374
2021,3,Corrientes,10.222049057000513,38.82133462178558
2021,3,Entre Ríos,17.415477632059954,58.249114025619235
2021,3,Formosa,10.833824492468894,42.56785008973773
2021,3,Jujuy,13.820567447664118,54.04751407787419
2021,3,La Pampa,22.398461376912916,67.98289021219492
2021,3,La Rioja,5.187549280967222,19.488066803332643
2021,3,Mendoza,5.581765613220994,20.002776260128456
2021,3,Misiones,10.999350943715312,40.38485309293909
2021,3,Neuquén,11.561087383020844,38.84119101751027
2021,3,Río Negro,14.787610992765698,48.07885995928426
2021,3,Salta,16.834130858766713,69.51032364078017
2021,3,San Juan,4.300145285430868,16.881608339538346
2021,3,San Luis,8.990030039813904,31.413779316794177
2021,3,Santa Cruz,11.228167157451605,37.73760182935544
2021,3,Santa Fe,23.116072116765817,73.51569763347736
2021,3,Santiago Del Estero,19.26221807359635,77.61639976878801
2021,3,Tierra Del Fuego,23.794496976083316,80.26166528019361
2021,3,Tucumán,6.59964523544921,26.643509161159315
2021,2,Buenos Aires,16.578452447958696,49.69693786972224
2021,2,Capital Federal,24.08579307925433,58.32224958529348
2021,2,Catamarca,10.22605954214882,40.20168445959269
2021,2,Chaco,9.648786444516125,36.10168656596942
2021,2,Chubut,11.762730530993169,38.37474947818773
2021,2,Córdoba,28.272698288060162,92.34487192396769
2021,2,Corrientes,9.97399796552008,37.87850259900075
2021,2,Entre Ríos,15.934077729372635,53.29336444683779
2021,2,Formosa,9.944768600613171,39.07382939641004
2021,2,Jujuy,13.673415386670571,53.47069785665131
2021,2,La Pampa,22.073560073875736,66.99554584418858
2021,2,La Rioja,5.093139002867748,19.132879270984663
2021,2,Mendoza,5.409684103203375,19.38562704825177
2021,2,Misiones,11.012512452398278,40.43215480791678
2021,2,Neuquén,11.629433682515062,39.06959531096842
2021,2,Río Negro,14.684667411555473,47.7427980620005
2021,2,Salta,13.569525491453794,56.028755037577604
2021,2,San Juan,4.275608519269777,16.78503351930284
2021,2,San Luis,8.887228985033634,31.053654690537364
2021,2,Santa Cruz,11.324033892957505,38.05724041874467
2021,2,Santa Fe,18.95366711015736,60.277127596396774
2021,2,Santiago Del Estero,16.398947962208467,66.07795048418097
2021,2,Tierra Del Fuego,23.7721464740445,80.18182509794971
2021,2,Tucumán,6.663751420160973,26.901619909352956
2021,1,Buenos Aires,16.567484897849408,49.78182499021293
2021,1,Capital Federal,24.070163719026713,58.21683940694382
2021,1,Catamarca,10.234629864985509,40.23580112160789
2021,1,Chaco,9.759680618965723,36.51679844946886
2021,1,Chubut,11.685962431186429,38.125153143947486
2021,1,Córdoba,28.672090472010538,93.65000754944889
2021,1,Corrientes,10.0335626142819,38.10475243855186
2021,1,Entre Ríos,15.893832651881517,53.15902467107235
2021,1,Formosa,9.940336286385826,39.056617176955314
