,Provincia,Año,mean,std,CV
121,Mendoza,2015,32.459707929813185,0.06256336394860858,0.19274161087304845
122,Mendoza,2016,32.11125572822381,0.01734032746779033,0.054000776595445485
123,Mendoza,2017,33.158043860731645,1.8441309207774936,5.56163966886315
124,Mendoza,2018,37.44835123509313,0.5024558538240032,1.341730242460309
125,Mendoza,2019,38.19949062831769,3.3649758646556,8.80895480360439
126,Mendoza,2020,36.343133055195906,2.3447734797921527,6.451764838851518
127,Mendoza,2021,43.295126281511514,3.8878146019771953,8.979797348777856
128,Mendoza,2022,50.12881023389586,1.2669973935251553,2.5274834723055983
129,Mendoza,2023,51.84,0.3822302970723276,0.7373269619450763
130,Misiones,2014,23.558518452427755,0.4394119101834786,1.8651933103127554
131,Misiones,2015,27.661572634747895,1.0651621252690746,3.850692581126208
132,Misiones,2016,29.30817524941847,0.6869451335609308,2.3438686568334246
133,Misiones,2017,30.239906543761855,0.6715786619496898,2.220835772021355
134,Misiones,2018,32.28551471563622,1.5182743856827092,4.702648847495043
135,Misiones,2019,38.63136512878825,1.6056825144376048,4.156421884353871
136,Misiones,2020,41.038686002012255,1.527750500852748,3.722708131488025
137,Misiones,2021,45.70513115166102,2.4629312616568297,5.388741262954064
138,Misiones,2022,51.17833549943238,1.6120583463818217,3.1498842833599014
139,Misiones,2023,54.88666666666666,0.8108226275415157,1.4772670245503141
140,Neuquén,2014,52.39618874353839,2.899196840008753,5.53322084970596
141,Neuquén,2015,54.49010649921016,2.7544027220697855,5.054867569601302
142,Neuquén,2016,58.98518516366367,2.275389978618175,3.85756181370754
143,Neuquén,2017,61.251472656844726,0.47024836486734745,0.767733973519081
144,Neuquén,2018,60.32749199398023,1.0054487278805437,1.666650965667315
145,Neuquén,2019,61.36343557129738,2.636950260733608,4.29726633814329
146,Neuquén,2020,64.49811953327452,2.176628616857152,3.3747163988776934
147,Neuquén,2021,69.7472490630138,2.6729072738083755,3.832276268550051
148,Neuquén,2022,78.30826377498178,2.852577842836746,3.6427545514654844
149,Neuquén,2023,79.16333333333334,0.7294746968424207,0.921480521507121
150,Río Negro,2014,45.48077934024225,0.5336606013631966,1.1733761142720869
151,Río Negro,2015,46.03293424450982,0.5144054969779376,1.1174727516729805
152,Río Negro,2016,46.212103794506476,0.2606336230775894,0.5639942821832158
153,Río Negro,2017,47.48615814296857,1.7229007006126498,3.6282166593166796
154,Río Negro,2018,50.592201869373454,0.8966400519523703,1.772289046180378
155,Río Negro,2019,58.4488919626997,4.585220823730683,7.844837891292844
156,Río Negro,2020,57.406506326178835,2.582439155971027,4.498513010525026
157,Río Negro,2021,62.620848400948944,2.111161510064563,3.371339679953252
158,Río Negro,2022,67.82160188746758,0.5774965696078329,0.8514935559411281
159,Río Negro,2023,68.70666666666666,0.4006661120351066,0.5831546361853871
160,Salta,2014,29.09292487096736,0.36454712538926604,1.2530439170557848
161,Salta,2015,30.810087484268493,0.7094199607780789,2.302557437203987
162,Salta,2016,32.26180585419776,0.7294755319063397,2.261111901804541
163,Salta,2017,36.23771321420391,4.134706057669564,11.409953032160166
164,Salta,2018,39.73545180580959,0.2172363648008951,0.5467066685501577
165,Salta,2019,44.20558989569033,4.475885090378769,10.125156345476412
166,Salta,2020,51.88393193837422,1.841597907750257,3.5494571034778892
167,Salta,2021,55.40970338884655,1.2517045428561235,2.258998814832277
168,Salta,2022,57.341898352124396,0.8405576704021039,1.4658699738896297
169,Salta,2023,57.57333333333333,0.09504384952922595,0.16508311057646935
170,San Juan,2014,27.817395258404606,0.1826587368345146,0.6566349406108648
171,San Juan,2015,27.63162144291482,0.05331094038721445,0.192934535156945
172,San Juan,2016,27.32028105307082,0.02095151404175298,0.07668850112139683
173,San Juan,2017,29.167048914978103,2.6401536229992386,9.0518366485937
174,San Juan,2018,32.62587371863916,0.5217310486201373,1.5991328021418547
175,San Juan,2019,34.33751603866121,2.4143947733570736,7.031361181276667
176,San Juan,2020,35.649496827460396,2.6602157982561345,7.462141222164463
177,San Juan,2021,39.345879975708876,0.23048107959847702,0.5857819922715416
178,San Juan,2022,48.67149540233291,3.478536834311957,7.146969300115699
179,San Juan,2023,49.24,1.530130713370593,3.107495356154738
180,San Luis,2014,9.640680542021444,0.19857608480893554,2.0597724812412297
181,San Luis,2015,9.70907326355233,0.004739784339427019,0.04881809221916242
182,San Luis,2016,9.615325564157061,0.024823423063531833,0.2581651853377261
183,San Luis,2017,11.28101584214988,2.8419483762166924,25.19230906137162
184,San Luis,2018,37.55069587818646,26.600216853323527,70.83814622134828
185,San Luis,2019,77.31851165673592,7.913880837917321,10.235428318966964
186,San Luis,2020,79.08985483860333,2.2850707004625166,2.8892083632288905
187,San Luis,2021,81.22040632384719,1.6098502988808885,1.982076145324847
188,San Luis,2022,83.62355765150443,4.457276064877422,5.3301679455600555
189,San Luis,2023,94.04333333333334,4.225746482378395,4.493403554083289
190,Santa Cruz,2014,28.587680522639843,0.7045811982358847,2.464632265908722
191,Santa Cruz,2015,27.604484755212955,0.3895968903612108,1.411353603648181
192,Santa Cruz,2016,26.869184089266582,0.1321305399623901,0.49175493950027394
193,Santa Cruz,2017,28.744483541490155,3.2589397004824177,11.33761786249672
194,Santa Cruz,2018,30.825542200964417,4.7703289457264555,15.475247489976704
195,Santa Cruz,2019,31.213310529077237,6.117196101151449,19.59803685499134
196,Santa Cruz,2020,36.1795004064235,0.5526540483067919,1.5275336643638968
197,Santa Cruz,2021,43.1153206591588,1.059297225994392,2.4568928394815734
198,Santa Cruz,2022,43.30210577763263,0.17220007571145435,0.3976713663666744
199,Santa Cruz,2023,41.99,1.2968808734806774,3.0885469718520535
200,Santa Fe,2014,48.85838035530693,0.9410889799864772,1.9261567271422197
201,Santa Fe,2015,51.54376954867488,1.0517252325190907,2.04045075035869
202,Santa Fe,2016,52.14425467987469,0.6104089612613117,1.1706159480248584
203,Santa Fe,2017,56.71471144649179,5.317288254053561,9.375500850551314
204,Santa Fe,2018,63.462368580182634,1.495026868706915,2.355769099317491
205,Santa Fe,2019,68.18778717825828,1.183474981603633,1.7356113617674116
206,Santa Fe,2020,71.30677214646961,1.8898860206538028,2.650359795801486
207,Santa Fe,2021,75.27289993871662,1.3223365956892619,1.7567233317247526
208,Santa Fe,2022,78.038646186896,0.5627694205878611,0.7211419573323653
209,Santa Fe,2023,78.68333333333334,0.4965212315030887,0.6310373626389604
210,Santiago Del Estero,2014,16.691724085817274,0.4159627454044617,2.492029842249187
211,Santiago Del Estero,2015,17.07254604838268,0.05301690015855117,0.3105389202542147
212,Santiago Del Estero,2016,15.623042085758577,0.5178684769788742,3.3147736153827885
213,Santiago Del Estero,2017,23.267134640306626,10.518144416837314,45.20601517737511
214,Santiago Del Estero,2018,35.97376914718776,1.0951459224598494,3.0442901826022926
215,Santiago Del Estero,2019,47.13351832532555,8.345237151959234,17.705525597216475
216,Santiago Del Estero,2020,43.264678487571125,0.5554302806180241,1.283796158978936
217,Santiago Del Estero,2021,46.569076845740575,0.6366701302724953,1.3671521391361403
218,Santiago Del Estero,2022,47.725684598310124,0.39844113224800004,0.8348568189257742
219,Santiago Del Estero,2023,47.78666666666667,0.7919806394940052,1.6573255569768524
220,Tierra Del Fuego,2014,65.03647306597455,1.0398775201724204,1.5989143801164367
221,Tierra Del Fuego,2015,72.51587204833157,4.043839299785372,5.5764885473488714
222,Tierra Del Fuego,2016,68.19926072757625,1.8986884345686166,2.7840308154555777
223,Tierra Del Fuego,2017,65.75472749235526,4.151304771383772,6.313317581411022
