Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2014,1,Buenos Aires,26.71754097637023,85.26487965836321
2014,1,Capital Federal,52.66310752251635,128.57034093318336
2014,1,Catamarca,10.034940315611353,39.44659590264262
2014,1,Chaco,9.094093463116193,34.022053433325745
2014,1,Chubut,17.657914414568747,57.59462956340335
2014,1,Córdoba,21.09164300566625,68.8842540851804
2014,1,Corrientes,9.713546014023903,36.884951176157685
2014,1,Entre Ríos,17.14151596972427,57.326999825392434
2014,1,Formosa,7.377900390215247,28.984601436832925
2014,1,Jujuy,7.814437989654778,30.555215970809485
2014,1,La Pampa,21.26068376068376,64.52300554426003
2014,1,La Rioja,10.979221909123908,41.24124436673224
2014,1,Mendoza,17.259200413035764,61.83957224588023
2014,1,Misiones,9.492694978059705,34.84645472513624
2014,1,Neuquén,15.269578986624385,51.28707106120783
2014,1,Río Negro,17.693214146386953,57.514775906879166
2014,1,Salta,10.763841269154529,44.436937415977106
2014,1,San Juan,12.708558374996452,49.886151896852844
2014,1,San Luis,10.924384262072751,38.16769687093303
2014,1,Santa Cruz,13.171295516057151,44.250456978123715
2014,1,Santa Fe,22.927498048534865,72.91043546719332
2014,1,Santiago del Estero,7.7298672793691665,31.145180043689663
2014,1,Tierra del Fuego,22.234563022118046,74.97587427048389
2014,1,Tucumán,13.474601741015713,54.39036615631549
2014,2,Buenos Aires,26.60523597024805,84.7441241160982
2014,2,Capital Federal,52.56115664138207,127.67682065177209
2014,2,Catamarca,10.018866051037632,39.382900149120786
2014,2,Chaco,9.057581701771777,33.88517475451896
2014,2,Chubut,17.572592852303174,57.31467490313664
2014,2,Córdoba,20.908244627110435,68.2846439293108
2014,2,Corrientes,9.69140692905088,36.80062924592909
2014,2,Entre Ríos,17.118674622024724,57.250119950542164
2014,2,Formosa,7.368081414107943,28.945727617181344
2014,2,Jujuy,7.822938153303573,30.588114484807683
2014,2,La Pampa,21.446048482314524,65.08533643106067
2014,2,La Rioja,10.898970404300613,40.93921448647079
2014,2,Mendoza,17.20490069178541,61.644394142673185
2014,2,Misiones,9.452613486248715,34.69889670863214
2014,2,Neuquén,15.220315610538208,51.120545490240275
2014,2,Río Negro,17.622707578263892,57.28474815127722
2014,2,Salta,10.746755254519531,44.36563313028782
2014,2,San Juan,12.668242031337106,49.72714159528583
2014,2,San Luis,10.885829793920243,38.032256423601844
2014,2,Santa Cruz,13.108802806637563,44.03788938194539
2014,2,Santa Fe,22.802567522289475,72.51280305373346
2014,2,Santiago del Estero,7.698043439395459,31.016686358824796
2014,2,Tierra del Fuego,22.078255986251413,74.44391212100471
2014,2,Tucumán,13.493543256830515,54.466092069648006
2014,3,Buenos Aires,26.690622077147818,84.85049828768376
2014,3,Capital Federal,52.69002111099782,127.34607521513811
2014,3,Catamarca,10.02049664357937,39.38997603833866
2014,3,Chaco,9.346106274614705,34.965155068203586
2014,3,Chubut,17.573277236841633,57.32003109310983
2014,3,Córdoba,20.738111927476435,67.73007744618815
2014,3,Corrientes,9.938516000252456,37.739527330350086
2014,3,Entre Ríos,17.59380928180404,58.840057471411036
2014,3,Formosa,7.361756103332538,28.92141114065608
2014,3,Jujuy,7.823840741547862,30.592296294688165
2014,3,La Pampa,21.195751155918245,64.32646875278594
2014,3,La Rioja,10.832858726844018,40.69140140553948
2014,3,Mendoza,17.148031549190787,61.442290165680134
2014,3,Misiones,9.515337809020362,34.930278542757605
2014,3,Neuquén,15.159363265893026,50.918201576255186
2014,3,Río Negro,17.573203579807107,57.12550664463557
2014,3,Salta,10.723058232719927,44.2692898092165
2014,3,San Juan,12.715469239566952,49.91364236137185
2014,3,San Luis,10.781882343948396,37.67016075786913
2014,3,Santa Cruz,13.106011222311695,44.03255069943208
2014,3,Santa Fe,22.90249728813358,72.83111908675524
2014,3,Santiago del Estero,7.6884774490245205,30.97824658542355
2014,3,Tierra del Fuego,21.96870443902472,74.0812904979836
2014,3,Tucumán,13.515556427152967,54.55621423045196
2014,4,Buenos Aires,26.963167695953384,85.54809357132712
2014,4,Capital Federal,52.93347683369339,127.29050948547074
2014,4,Catamarca,9.98875020903328,39.26554516389279
2014,4,Chaco,9.277416571657474,34.70845725917216
2014,4,Chubut,17.755560984918066,57.91552507431257
2014,4,Córdoba,20.647162152746336,67.4334465015363
2014,4,Corrientes,9.887247472018599,37.545094149089905
2014,4,Entre Ríos,17.51074588261622,58.56256968734249
2014,4,Formosa,7.313690364599607,28.732857327959522
2014,4,Jujuy,7.812454593636398,30.547965218520545
2014,4,La Pampa,21.412787358006167,64.98532420172552
2014,4,La Rioja,10.736963316334922,40.33161688980433
2014,4,Mendoza,17.493758236031585,62.68139024562894
2014,4,Misiones,9.46718701302221,34.753735473159935
2014,4,Neuquén,15.285469183913323,51.34258828932764
2014,4,Río Negro,17.800559852245183,57.865408338922954
2014,4,Salta,10.67764493093342,44.08228885385612
2014,4,San Juan,12.961683772247131,50.880317470504544
2014,4,San Luis,10.841950903654611,37.88037853023806
2014,4,Santa Cruz,13.17337343434728,44.260984501247144
2014,4,Santa Fe,22.787103964063775,72.46444285179521
2014,4,Santiago del Estero,7.64648544443035,30.809254615512316
2014,4,Tierra del Fuego,21.95860743785111,74.04940827071053
2014,4,Tucumán,13.473395752454898,54.38648904686395
2015,1,Buenos Aires,28.930004632901312,91.60693229646867
2015,1,Capital Federal,53.53260905172922,128.08327729155988
2015,1,Catamarca,9.893687472511917,38.89192492274674
2015,1,Chaco,9.152741476536937,34.241963402977824
2015,1,Chubut,18.509623918152325,60.3750535542664
2015,1,Córdoba,20.510624770548,66.98738503661372
2015,1,Corrientes,10.17378123942516,38.633135778738854
2015,1,Entre Ríos,17.451178400048594,58.36321252996384
2015,1,Formosa,7.248186394800507,28.47540191722852
2015,1,Jujuy,7.787330791177135,30.449629130141602
2015,1,La Pampa,22.474137578142816,68.20658443517614
2015,1,La Rioja,10.628380962788919,39.923646103796145
2015,1,Mendoza,18.053147946232343,64.68561683424993
2015,1,Misiones,9.331199059839019,34.25452719727516
2015,1,Neuquén,15.584143901038846,52.34549475450198
2015,1,Río Negro,18.30850849699514,59.516364978991696
2015,1,Salta,10.620185178487468,43.84489757827446
2015,1,San Juan,13.359434540265097,52.44156716776075
2015,1,San Luis,10.97413100462466,38.34206435165742
2015,1,Santa Cruz,18.170735932917744,61.05072655497582
2015,1,Santa Fe,22.623189162913135,71.94307671803227
2015,1,Santiago del Estero,7.580289366119509,30.542569460480394
2015,1,Tierra del Fuego,22.145289744643073,74.67825542943963
2015,1,Tucumán,13.383779312188562,54.024647242074394
2015,2,Buenos Aires,28.032824548190238,88.58980634230011
2015,2,Capital Federal,54.18247868999331,128.9855614748156
2015,2,Catamarca,9.869685156513977,38.797256309101364
2015,2,Chaco,9.126893793470572,34.145007288032886
2015,2,Chubut,19.011444461325922,62.010268585159544
2015,2,Córdoba,20.3168437274419,66.35394389865327
2015,2,Corrientes,10.148567624077529,38.53706169551709
2015,2,Entre Ríos,17.406600364608305,58.213692273399666
2015,2,Formosa,7.230156289413578,28.40445533465916
2015,2,Jujuy,7.763332718975141,30.355491018608156
2015,2,La Pampa,22.78517939397829,69.15033952775983
2015,2,La Rioja,10.591585647738503,39.784627341896424
2015,2,Mendoza,18.597374689381066,66.63496525842672
2015,2,Misiones,9.30193805104174,34.146688086999504
2015,2,Neuquén,15.785579268785241,53.02120131755308
2015,2,Río Negro,18.82754737902215,61.2028779658649
2015,2,Salta,10.583701002844245,43.69369927897879
2015,2,San Juan,13.650598851873225,53.584056915281096
2015,2,San Luis,11.109429774785,38.81427742736091
2015,2,Santa Cruz,18.42160410613136,61.89000042032702
2015,2,Santa Fe,22.517064607672335,71.60528748572804
2015,2,Santiago del Estero,7.560058149316055,30.46085392242915
2015,2,Tierra del Fuego,22.495377346695708,75.85426466672584
2015,2,Tucumán,13.335093061329664,53.82747869676729
2015,3,Buenos Aires,28.239033838370965,89.06135070800715
2015,3,Capital Federal,53.26856447763112,126.1703101858086
2015,3,Catamarca,9.871807127080997,38.80604394517731
2015,3,Chaco,9.361080589450559,35.021733608590694
2015,3,Chubut,19.360751142236754,63.15240017446301
2015,3,Córdoba,20.361877374174085,66.50203097814187
2015,3,Corrientes,10.33640494036708,39.250987878120455
2015,3,Entre Ríos,17.772948854719335,59.439739407005135
2015,3,Formosa,7.205624810391903,28.30858203143517
2015,3,Jujuy,7.787140218976209,30.449251909072057
2015,3,La Pampa,22.891678478603176,69.4747721009116
2015,3,La Rioja,10.486262402092315,39.38995556642615
2015,3,Mendoza,18.970248174774028,67.97271375384865
2015,3,Misiones,9.498347403277094,34.86869842324018
2015,3,Neuquén,15.900330813472626,53.40916280263056
2015,3,Río Negro,19.107708185648974,62.115347062453274
2015,3,Salta,10.558193553371614,43.58969804207767
2015,3,San Juan,13.953132944207972,54.772754865174214
2015,3,San Luis,11.1156860207257,38.837179541475855
2015,3,Santa Cruz,18.636595708537882,62.61804362716955
2015,3,Santa Fe,22.5399656100402,71.67871120770025
2015,3,Santiago del Estero,7.4389685146585265,29.973088573694405
2015,3,Tierra del Fuego,22.972761018455586,77.46997245179064
2015,3,Tucumán,13.373418835467154,53.98345608919152
2015,4,Buenos Aires,28.167112465801598,88.65343142894841
2015,4,Capital Federal,51.448692182321395,121.24450781509697
2015,4,Catamarca,9.854669474064611,38.73882761478208
2015,4,Chaco,9.000381846482144,33.67249316613135
2015,4,Chubut,19.42777499087157,63.3721539110787
2015,4,Córdoba,20.130016324551665,65.74517404759145
2015,4,Corrientes,10.014337978246669,38.028233421843346
2015,4,Entre Ríos,17.242254846846546,57.66524674308451
2015,4,Formosa,7.148421713371798,28.083913249104793
2015,4,Jujuy,7.787041094079922,30.449080780536157
2015,4,La Pampa,23.15470348063956,70.27303333157069
2015,4,La Rioja,10.428956888021327,39.174943635366525
2015,4,Mendoza,19.063511336687124,68.30737918043359
2015,4,Misiones,9.345457296096221,34.30770146927035
2015,4,Neuquén,17.36832183913236,58.34081767203397
2015,4,Río Negro,19.216618909602047,62.47002863758261
2015,4,Salta,10.523718849756099,43.44776760555386
2015,4,San Juan,14.058612416408097,55.187138747056196
2015,4,San Luis,11.066490614423694,38.66560226082979
2015,4,Santa Cruz,16.323798720701525,54.8494523738069
2015,4,Santa Fe,22.24071514924256,70.72733423553952
2015,4,Santiago del Estero,7.350989896692907,29.618888735218864
2015,4,Tierra del Fuego,23.060546266486657,77.76902197705981
2015,4,Tucumán,13.345128960561514,53.86977904390605
2016,1,Buenos Aires,29.03652486238087,91.20286036658274
2016,1,Capital Federal,52.618074677783554,123.3742130365199
2016,1,Catamarca,9.680359123422388,38.05348056728375
2016,1,Chaco,8.864295504419287,33.163322364582605
2016,1,Chubut,21.359314645326865,69.67235941007644
2016,1,Córdoba,19.555551597878214,63.868863901582486
2016,1,Corrientes,9.473530648191662,35.97443602485551
2016,1,Entre Ríos,16.774747445328995,56.10158854817458
2016,1,Formosa,7.0585389121281485,27.730854527438304
2016,1,Jujuy,7.690346923002476,30.070996077093636
2016,1,La Pampa,24.15325688259461,73.30378811860292
2016,1,La Rioja,10.176149498062841,38.22526288091166
2016,1,Mendoza,20.060109059519547,71.87827100468289
2016,1,Misiones,9.604889330150112,35.26003993770451
2016,1,Neuquén,16.273332417240024,54.6624588069859
2016,1,Río Negro,20.637825287636556,67.08997829683115
2016,1,Salta,10.354854362799628,42.750466326330255
2016,1,San Juan,15.324483478704618,60.15603995888136
2016,1,San Luis,11.192598325593782,39.1060356044691
2016,1,Santa Cruz,14.466949881925578,48.609624567758935
2016,1,Santa Fe,21.715315598516856,69.05645210790232
2016,1,Santiago del Estero,6.898045726658481,27.793774084259347
2016,1,Tierra del Fuego,25.11217700758162,84.68746602891619
2016,1,Tucumán,13.168161532668165,53.15522881564599
2016,2,Buenos Aires,29.217269546865914,91.58215312438058
2016,2,Capital Federal,51.66214259103471,121.27388626218105
2016,2,Catamarca,9.629011671907744,37.85150420234074
2016,2,Chaco,8.920368087971148,33.372766406877034
2016,2,Chubut,20.000624363712674,65.23898691497847
2016,2,Córdoba,19.51882996142425,63.74839342396024
2016,2,Corrientes,9.48736215357487,36.02681258983789
